"country","gdp","population","export","import"
"Botswana",15110643612.1729,2134037,50.35,51.4
"Botswana",13907464500.1489,2175425,51.43,57.6
"Botswana",14271738933.2042,2217278,54.4,382.98
"Botswana",15470088500.7414,2260376,44.41,1012.87
"Botswana",13530748844.505,2305171,52.27,542.22
"Botswana",15082637184.0496,2352416,77.05,1307.39
"Botswana",16105155856.7708,2401840,108.53,1638.28
"Botswana",17031943186.1353,2451409,178.23,974.46
"Botswana",16725908148.5481,2499702,178.69,743.99
"Botswana",14960291105.9316,2546402,172.65,461.72
"Botswana",18750946600.1423,2588423,278.83,527.96
"Brazil",2208837745214.23,196353492,4024.01,3548.82
"Brazil",2616156223977.47,198185302,5769.57,4271.43
"Brazil",2465227803011.57,199977707,6048.37,4825.7
"Brazil",2472819535742.73,201721767,5552.35,3720.8
"Brazil",2456043727198.85,203459650,5963.65,5400.83
"Brazil",1802212206904.68,205188205,2650.16,4040.04
"Brazil",1795693482652.52,206859578,2400.33,4114.62
"Brazil",2063514977334.32,208504960,3063.33,5498.11
"Brazil",1916933898038.36,210166592,3800.31,4406.32
"Brazil",1873288205186.45,211782878,3967.18,3074.89
"Brazil",1476107231194.11,213196304,4244.77,3015.9
"Brazil",1670647399034.67,214326223,6488.84,5713.21
"Brunei Darussalam",13707280259.9763,396053,23.01,234.16
"Brunei Darussalam",18525128526.3766,401506,895.49,605.01
"Brunei Darussalam",19048443340.7732,406634,39.98,814.8
"Brunei Darussalam",18094321616.7959,411702,32.42,763.6
"Brunei Darussalam",17097802752.8728,416656,41.9,840.89
"Brunei Darussalam",12930291487.9581,421437,28.39,554.02
"Brunei Darussalam",11400466356.3898,425994,42.83,627.85
"Brunei Darussalam",12128183904.4501,430276,63.13,434.83
"Brunei Darussalam",13566937673.7966,434274,56.14,591.11
"Brunei Darussalam",13469235364.7032,438048,57.54,586.27
"Brunei Darussalam",12005799653.9835,441725,62.9,329.27
"Brunei Darussalam",14006496617.4458,445373,43.14,394.43
"Bulgaria",50760929302.5147,7395599,69.67,57.58
"Bulgaria",57737040780.0157,7348328,108.73,101.07
"Bulgaria",54288135058.7926,7305888,156.94,90.06
"Bulgaria",55852123989.9504,7265115,168.07,93.61
"Bulgaria",57157782909.9307,7223938,266.39,103.65
"Bulgaria",50811995688.6771,7177991,145.45,93.68
"Bulgaria",53964253211.84,7127822,239.46,182.18
"Bulgaria",59309748166.1179,7075947,173.18,141.93
"Bulgaria",66370132238.3914,7025037,212.35,125.64
"Bulgaria",68881010245.5498,6975761,158.84,144
"Bulgaria",70368758395.141,6934015,170.33,125.32
"Bulgaria",84041493015.6618,6877743,246.98,173.16
"Burkina Faso",10109619740.6994,16116845,45.82,4.12
"Burkina Faso",12080295977.5632,16602651,85.02,16.39
"Burkina Faso",12561015156.5683,17113732,86.05,14.66
"Burkina Faso",13444300485.8412,17636408,103.16,16.55
"Burkina Faso",13943016076.7436,18169842,112.72,151.64
"Burkina Faso",11832159315.6298,18718019,108.7,238.11
"Burkina Faso",12833363045.3367,19275498,114.9,256.42
"Burkina Faso",14106955615.3442,19835858,148.3,632.57
"Burkina Faso",15890066221.2882,20392723,181.4,881.27
"Burkina Faso",16032813501.6639,20951639,153.87,542.68
"Burkina Faso",17725010530.7894,21522626,207.79,359.95
"Burkina Faso",19643166853.6641,22100683,196.56,425.45
"Burundi",2032135192.01248,9126605,16.11,0.24
"Burundi",2235820809.32006,9455733,24.12,0.6
"Burundi",2333341334.45753,9795479,32.64,0.23
"Burundi",2451606632.29246,10149577,30.75,0.18
"Burundi",2705783329.80483,10494913,31.41,0.3
"Burundi",3104003546.26497,10727148,29.02,0.11
"Burundi",2644487776.50077,10903327,35.95,1.6
"Burundi",2723586962.84034,11155593,38.06,16.53
"Burundi",2667182199.51333,11493472,48.27,4.55
"Burundi",2576518879.82353,11874838,58.41,3.82
"Burundi",2649680261.44299,12220227,63.94,0.07
"Burundi",2775798697.46022,12551213,60.41,0.04
"Cabo Verde",1824751467.92957,521212,0.49,2.07
"Cabo Verde",2046817987.20109,527521,0.46,3.36
"Cabo Verde",1913081210.41411,533864,0.93,3.43
"Cabo Verde",2028910915.16446,539940,1.44,3.18
"Cabo Verde",2041930125.42979,546076,4.1,2.98
"Cabo Verde",1749857620.35329,552166,1.42,2.77
"Cabo Verde",1849789985.99572,558394,1.24,1.9
"Cabo Verde",1996741539.95088,564954,1.48,2.82
"Cabo Verde",2205099506.99994,571202,1.61,2.91
"Cabo Verde",2252177124.32402,577030,2.17,2.05
"Cabo Verde",1821565613.68613,582640,3.27,2.03
"Cabo Verde",2051842609.64558,587925,6.23,4.62
"Cambodia",11242275287.581,14363532,66.91,7.99
"Cambodia",12829541141.062,14573885,99.44,7.25
"Cambodia",14054443213.4887,14786640,112.24,11.89
"Cambodia",15227991395.1207,14999683,141.24,12.71
"Cambodia",16702610842.3529,15210817,142.48,17.94
"Cambodia",18049954289.4721,15417523,142.95,54.43
"Cambodia",20016747857.6367,15624584,104.98,36.09
"Cambodia",22177200588.1826,15830689,121.38,55.82
"Cambodia",24571753583.3935,16025238,195.92,42.63
"Cambodia",27089390032.798,16207746,188.09,46.69
"Cambodia",25872797891.7664,16396860,168.8,39.32
"Cambodia",26961061151.7337,16589023,198.32,94.88
"Cameroon",27507501808.6377,19878036,121.1,138.09
"Cameroon",30630910513.4884,20448873,196.36,523.21
"Cameroon",30155062302.4497,21032684,250.89,443.17
"Cameroon",33728621190.4164,21632850,259.6,268.3
"Cameroon",36386544715.2702,22299585,249.03,745.36
"Cameroon",32210233021.4049,23012646,190.95,557.54
"Cameroon",33814337040.7817,23711630,148.77,359.1
"Cameroon",36098547058.7851,24393181,193.88,212.81
"Cameroon",39955552189.795,25076747,178.15,343.21
"Cameroon",39667757527.6578,25782341,228.35,676.35
"Cameroon",40773241177.0505,26491087,278.98,202.47
"Cameroon",44993521774.066,27198628,403,806.44
"Canada",1617343367486.26,34005902,1348.61,2029.85
"Canada",1793326630174.52,34339221,2053.31,2918.66
"Canada",1828366481521.6,34713395,2036.39,2800.08
"Canada",1846597421834.98,35080992,2036.85,3148.17
"Canada",1805749878439.94,35434066,2195.84,3749.29
"Canada",1556508816217.14,35704498,2018.22,4233.92
"Canada",1527994741907.43,36110803,2003.91,4131.46
"Canada",1649265644244.09,36545075,2505.93,4728.37
"Canada",1725329192783.02,37072620,2851.18,3515.26
"Canada",1743725183672.52,37618495,2851.56,3880.23
"Canada",1655684730000.19,38028638,2960.56,2686.34
"Canada",2007472181464.15,38239864,3763.75,3132.66
"Cayman Islands",4156841163.77763,54074,0.27,0.03
"Cayman Islands",4186073160.18253,55492,0.94,0.01
"Cayman Islands",4291004485.56803,56860,0.38,0
"Cayman Islands",4405796081.15984,58212,3.1,0.01
"Cayman Islands",4562853582.32463,59559,6.71,0
"Cayman Islands",4708167255.28727,60911,3.54,0
"Cayman Islands",4909322200.00212,62255,4.73,0.02
"Cayman Islands",5166281293.18715,63581,3.98,6.46
"Cayman Islands",5530178498.90783,64884,4.35,0.23
"Cayman Islands",5941896599.57333,66134,6.55,1.44
"Cayman Islands",5655357984.24218,67311,4.28,86.45
"Cayman Islands",6060026509.58539,68136,6.62,0.09
"Chad",10668103554.1192,11894727,11.98,0.57
"Chad",12172308851.0395,12317730,38.88,40.9
"Chad",12367362757.1342,12754906,46.36,157.17
"Chad",12953534866.4286,13216766,32.98,11.26
"Chad",13940767218.5849,13697126,40.64,62.77
"Chad",10950392256.9543,14140274,43.46,320.87
"Chad",10097778098.1707,14592585,38.5,169.36
"Chad",10000394381.0177,15085884,27.24,149.46
"Chad",11239167898.3395,15604210,37.41,476.13
"Chad",11314951091.7283,16126866,58.69,270.75
"Chad",10715396042.3343,16644701,59.21,50
"Chad",11779981332.16,17179740,52.94,3
"Chile",217051209240.298,17004162,507.43,1550.25
"Chile",251382573885.594,17173573,522.01,2133.24
"Chile",267024782480.28,17341771,689.92,2992.28
"Chile",277395018837.366,17509925,663.81,2507.84
"Chile",259560978231.552,17687108,565.72,3080.6
"Chile",242450355827.827,17870124,679.2,1960.64
"Chile",249344863933.461,18083879,674.23,1226.33
"Chile",276154259987.103,18368577,763.44,2092.13
"Chile",295857562991.709,18701450,989.63,1237.52
"Chile",278285058719.466,19039485,793.3,1175.62
"Chile",254042159309.311,19300315,804.89,670.59
"Chile",315515014838.539,19493184,1181.8,1371.15
"China",6087191746679.49,1337705000,14168.65,43479.39
"China",7551545703440.75,1345035000,18076.34,55313.17
"China",8532185381680.59,1354190000,13534.66,52247.97
"China",9570471111831.68,1363240000,14824.16,51034.3
"China",10475624944355.2,1371860000,11934.07,60412.84
"China",11061572618578.7,1379860000,9011.19,61707.54
"China",11233313730348.7,1387790000,10171.66,61282.66
"China",12310491333980.9,1396215000,13333.33,76380.35
"China",13894907857880.6,1402760000,16751.94,70319.29
"China",14279968506271.7,1407745000,16612.52,65260.38
"China",14687744162801,1411100000,21186.94,65211.87
"China",17820459508852.2,1412360000,21259.6,94570.17
"Colombia",286498534094.963,44816108,561.22,856.29
"Colombia",334966134804.887,45308899,892.35,559.83
"Colombia",370691143018.039,45782417,912.01,2352.75
"Colombia",382093697077.685,46237930,1007.43,4970.62
"Colombia",381240864422.406,46677947,1105.03,2134.93
"Colombia",293492370193.166,47119728,886.8,807.8
"Colombia",282720100286.228,47625955,784.42,593.95
"Colombia",311866875156.879,48351671,939.03,592.78
"Colombia",334198218098.276,49276961,1116.72,1054.97
"Colombia",323031701192.84,50187406,1043.34,810.93
"Colombia",270348342541.465,50930662,864.85,1403.59
"Colombia",318524633225.395,51516562,1376.54,2964.27
"Comoros",907978730.887844,656024,8.6,8.55
"Comoros",1023086273.53336,670071,10.96,2.96
"Comoros",1015843490.82374,684553,20.71,8.01
"Comoros",1116224106.83728,699393,13.64,6.59
"Comoros",1149587661.00693,714612,17.74,11.3
"Comoros",966029600.862227,730216,17.03,15.1
"Comoros",1012835493.19325,746232,20.78,25.65
"Comoros",1077439756.59451,761664,29.57,37.28
"Comoros",1188797449.38584,776313,19.25,32.39
"Comoros",1195019531.9011,790986,18.84,19.65
"Comoros",1225039196.61091,806166,18.23,12.48
"Comoros",1296089479.91978,821625,22.99,14.87
"Congo, Dem. Rep.",21565721044.8462,66391257,6.68,9.82
"Congo, Dem. Rep.",25839749199.3671,68654269,6.85,0.9
"Congo, Dem. Rep.",29306235285.2597,70997870,147.25,0
"Congo, Dem. Rep.",32679745048.4427,73460021,181.33,47.28
"Congo, Dem. Rep.",35909040925.9375,76035588,254.09,126.46
"Congo, Dem. Rep.",37917706497.1793,78656904,317.51,97.74
"Congo, Dem. Rep.",37134801555.3322,81430977,199.08,85.91
"Congo, Dem. Rep.",38019264794.8263,84283273,224.94,225.41
"Congo, Dem. Rep.",47568210009.8172,87087355,302.8,19
"Congo, Dem. Rep.",51775829877.2088,89906890,352.61,32.12
"Congo, Dem. Rep.",48716961860.1325,92853164,430.16,10.14
"Congo, Dem. Rep.",55328482783.5393,95894118,567.96,31.21
"Congo, Rep.",13148396211.5955,4437884,241.81,543.32
"Congo, Rep.",15655383576.6515,4584216,347.34,257.48
"Congo, Rep.",17692911296.3044,4713257,199.05,454.72
"Congo, Rep.",17958720699.0868,4828066,210.22,89.54
"Congo, Rep.",17919321082.5539,4944861,252.76,365.51
"Congo, Rep.",12434793867.7228,5064386,166.51,201.64
"Congo, Rep.",10931328149.6857,5186824,135.72,156.52
"Congo, Rep.",11834473047.7636,5312340,116.61,198.81
"Congo, Rep.",14773900277.9221,5441062,132.81,405.65
"Congo, Rep.",13976637328.8474,5570733,112.85,587.49
"Congo, Rep.",11468688140.7225,5702174,109.77,245.94
"Congo, Rep.",14825690210.0308,5835806,160.91,1309.72
"Costa Rica",37658614803.848,4622252,61.41,95.34
"Costa Rica",42762613699.9524,4679926,65.49,204.14
"Costa Rica",47231655431.1389,4736593,74.25,219.7
"Costa Rica",50949668840.8692,4791535,81.06,203.97
"Costa Rica",52016408951.8225,4844288,95.79,155.3
"Costa Rica",56441920821.0806,4895242,134.72,62.2
"Costa Rica",58847019609.6549,4945205,159.24,58.81
"Costa Rica",60516044657.2254,4993842,133.52,67.28
"Costa Rica",62420164991.5374,5040734,136.13,50.54
"Costa Rica",64417670521.1842,5084532,126.57,48.7
"Costa Rica",62395610760.3912,5123105,113.79,47.24
"Costa Rica",64960725734.1965,5153957,147.47,63.26
"Cote d'Ivoire",34936307980.063,21120042,94.09,250.84
"Cote d'Ivoire",36693710801.3976,21562914,282.48,466.31
"Cote d'Ivoire",36302302877.2977,22010712,395.92,384.2
"Cote d'Ivoire",42760235484.6093,22469268,298.87,298.4
"Cote d'Ivoire",48843005613.7091,22995555,309.67,532.1
